setting,forget_token_overlap_with_retain_basis
coupled,0.762235164642334
coupled,0.7701824307441711
coupled,0.7102302312850952
coupled,0.7629865407943726
coupled,0.6812112331390381
coupled,0.6865831613540649
coupled,0.694622814655304
coupled,0.7185701727867126
coupled,0.7030414938926697
coupled,0.7503721117973328
coupled,0.7906187176704407
coupled,0.7262870669364929
coupled,0.6619961857795715
coupled,0.7344158291816711
coupled,0.6572177410125732
coupled,0.720493495464325
coupled,0.7353487014770508
coupled,0.7144021987915039
coupled,0.6703240871429443
coupled,0.6998828053474426
coupled,0.7238599061965942
coupled,0.7849639058113098
coupled,0.7394290566444397
coupled,0.6819375157356262
coupled,0.6814874410629272
coupled,0.6303013563156128
coupled,0.7324648499488831
coupled,0.702747106552124
coupled,0.710719883441925
coupled,0.7102687954902649
coupled,0.7301707863807678
coupled,0.7430950403213501
coupled,0.7470412254333496
coupled,0.737442135810852
coupled,0.7559301853179932
coupled,0.7325893044471741
coupled,0.686698317527771
coupled,0.7839314341545105
coupled,0.6503381133079529
coupled,0.7280113697052002
coupled,0.7237445116043091
coupled,0.7789053916931152
coupled,0.7586517930030823
coupled,0.7311631441116333
coupled,0.7226977944374084
coupled,0.7816047072410583
coupled,0.7628269195556641
coupled,0.638624906539917
coupled,0.7369707822799683
coupled,0.7268323302268982
coupled,0.7036634087562561
coupled,0.7083216309547424
coupled,0.6744399070739746
coupled,0.7808945178985596
coupled,0.6771752238273621
coupled,0.6208248734474182
coupled,0.7293033003807068
coupled,0.7556873559951782
coupled,0.6572186946868896
coupled,0.6939813494682312
coupled,0.6200498342514038
coupled,0.6154930591583252
coupled,0.6653542518615723
coupled,0.6253939270973206
coupled,0.721828818321228
coupled,0.764200747013092
coupled,0.7289624214172363
coupled,0.7174927592277527
coupled,0.6646793484687805
coupled,0.7461476922035217
coupled,0.7405744791030884
coupled,0.6745162606239319
coupled,0.7491980791091919
coupled,0.7595651149749756
coupled,0.7184084057807922
coupled,0.7601295113563538
coupled,0.7227018475532532
coupled,0.7348865866661072
coupled,0.7852777242660522
coupled,0.688004732131958
coupled,0.7358275055885315
coupled,0.7329018115997314
coupled,0.6892485618591309
coupled,0.7092649936676025
coupled,0.7785564661026001
coupled,0.7153351306915283
coupled,0.7142803072929382
coupled,0.7614451050758362
coupled,0.7219579219818115
coupled,0.7729142904281616
coupled,0.7909418940544128
coupled,0.6568834781646729
coupled,0.6797289252281189
coupled,0.6643179655075073
coupled,0.7352632880210876
coupled,0.801582932472229
coupled,0.725147545337677
coupled,0.617462158203125
coupled,0.776914119720459
coupled,0.7360183000564575
coupled,0.7546094655990601
coupled,0.6788482069969177
coupled,0.7476215958595276
coupled,0.7474693059921265
coupled,0.660767138004303
coupled,0.6865430474281311
coupled,0.7476564645767212
coupled,0.6992084980010986
coupled,0.7749546766281128
coupled,0.7695924639701843
coupled,0.7554103136062622
coupled,0.7864012122154236
coupled,0.6771092414855957
coupled,0.7441960573196411
coupled,0.6382262110710144
coupled,0.7090895771980286
coupled,0.7737272381782532
coupled,0.7843971848487854
coupled,0.741986095905304
coupled,0.6516035795211792
coupled,0.7610784769058228
coupled,0.6442702412605286
coupled,0.7482362985610962
coupled,0.7010359764099121
coupled,0.7254136204719543
coupled,0.6798232793807983
coupled,0.6928247809410095
coupled,0.7516222596168518
coupled,0.6590976119041443
coupled,0.7166528701782227
coupled,0.7808469533920288
coupled,0.7113853693008423
coupled,0.7846505045890808
coupled,0.6452203989028931
coupled,0.6372246146202087
coupled,0.7532090544700623
coupled,0.6428291201591492
coupled,0.6571848392486572
coupled,0.7457551956176758
coupled,0.6663897037506104
coupled,0.6460166573524475
coupled,0.7380719780921936
coupled,0.733387291431427
coupled,0.7405251264572144
coupled,0.6618237495422363
coupled,0.7087367177009583
coupled,0.7143651247024536
coupled,0.7150557041168213
coupled,0.7254533767700195
coupled,0.7574948072433472
coupled,0.6982727646827698
coupled,0.7467586398124695
coupled,0.7159678936004639
coupled,0.7567539215087891
coupled,0.7594257593154907
coupled,0.7139189839363098
coupled,0.6437014937400818
coupled,0.7119703888893127
coupled,0.7539731860160828
coupled,0.7275023460388184
coupled,0.6456287503242493
coupled,0.6748859882354736
coupled,0.7993990778923035
coupled,0.7042743563652039
coupled,0.7834782600402832
coupled,0.7456409931182861
coupled,0.6432520747184753
coupled,0.7776546478271484
coupled,0.7737619876861572
coupled,0.702610194683075
coupled,0.7253696322441101
coupled,0.7385310530662537
coupled,0.7474039793014526
coupled,0.7435071468353271
coupled,0.7361673712730408
coupled,0.6839386224746704
coupled,0.7028181552886963
coupled,0.6853065490722656
coupled,0.7463162541389465
coupled,0.6840710043907166
coupled,0.6954281330108643
coupled,0.7422983050346375
